pd,in_degree_centrality,out_degree_centrality,load_centrality,eigenvector_centrality_numpy,closeness_centrality,betweenness_centrality_source,harmonic_centrality,pagerank,average_neighbor_degree,node_clique_number,hits_numpy
R5381,0.0014326647564469914,0.0014326647564469914,0.0,0.00758072171423345,0.3121645600919232,0.0,230.0333333333357,0.0003336050807727685,118.0,3,0.00014501985529625786
I160,0.0057306590257879654,0.010028653295128939,9.742712193141312e-06,0.023358502026237588,0.3297395085153291,9.38181363703527e-06,243.5000000000025,0.0008966695125914955,80.85714285714286,6,0.0022162249396057254
I110,0.09455587392550142,0.08166189111747851,0.009253297448891161,0.17472313706345327,0.3690707777230841,0.009138954170334614,289.3333333333327,0.01028387525991614,31.350877192982455,19,0.00877946048821504
E1169,0.0014326647564469914,0.0,0.0,0.0007094541516692418,0.2392883482618436,0.0,172.81666666666598,0.0003481475777968089,0.0,2,-0.0
K921,0.0014326647564469914,0.004297994269340974,0.0,0.007580721714233448,0.31196661173422385,0.0,229.86666666666903,0.0004429670441705367,107.33333333333333,4,0.0008621167850564119
R55,0.05873925501432665,0.0659025787965616,0.006939271628336103,0.1334831265796576,0.3870742302949418,0.007054488454445243,290.66666666666504,0.005341610285416534,40.43478260869565,19,0.0074464468744912865
K529,0.011461318051575931,0.010028653295128939,1.1847963046609038e-05,0.03879673404391898,0.33376617822582844,1.1198881885039809e-05,248.08333333333564,0.0010311182193322656,87.57142857142857,8,0.0014344470690438984
L03116,0.008595988538681949,0.008595988538681949,0.0006699243317899578,0.026147855833098598,0.3288578520754486,0.0004636715880146522,243.83333333333582,0.0008498158883993753,59.166666666666664,6,0.0012352775788026314
I4891,0.08595988538681948,0.08166189111747851,0.011295050771093012,0.1723019806865929,0.3741226971139704,0.01155421824653804,290.41666666666566,0.010738149614895703,36.64912280701754,19,0.012270843171505008
Z45018,0.1346704871060172,0.1318051575931232,0.03168146427469533,0.2028155785420689,0.3999767046381066,0.031851533932221905,315.4166666666641,0.017712160669897864,26.217391304347824,19,0.014691162570750782
N179,0.03724928366762178,0.050143266475644696,0.001973345548904903,0.10309550034424453,0.35342769159832693,0.0020221028409546133,266.8333333333348,0.0033698294307409654,50.08571428571429,16,0.005706358019944604
K8590,0.0014326647564469914,0.0014326647564469914,0.0,0.007580721714233455,0.31196661173422385,0.0,229.86666666666903,0.0004117207689140349,229.0,2,0.000598823740714632
I25110,0.004297994269340974,0.0057306590257879654,0.0,0.01785743623079075,0.3182220871312232,0.0,235.08333333333607,0.0005313360988035917,103.25,5,0.0009616094238977172
I214,0.011461318051575931,0.015759312320916905,1.7342773394579076e-05,0.04149184567552537,0.32863817415155044,1.5047669251804894e-05,244.33333333333584,0.0014072699850488219,76.54545454545455,11,0.0040141072257982085
R0789,0.07449856733524356,0.07449856733524356,0.00865910878151751,0.14820720884327296,0.3945239348074347,0.008830346616853836,298.1666666666644,0.009238481094822646,37.25,19,0.013564877745187047
C719,0.008595988538681949,0.011461318051575931,0.0030409759669170516,0.007073632877134433,0.2871986845912849,0.002926903239379887,215.36666666666764,0.002273613987342598,40.5,4,0.0033016695055830833
A419,0.06876790830945559,0.06017191977077364,0.012610008632479406,0.15010196101961046,0.40128168572991113,0.012568251257198617,300.4166666666649,0.006880464813074187,44.42857142857143,17,0.010591088437330955
C07,0.0028653295128939827,0.0028653295128939827,0.0,0.004383673379907681,0.28128721938528933,0.0,208.90000000000052,0.0006903832487982543,93.0,3,0.0010504179168974051
L03115,0.010028653295128939,0.007163323782234957,0.0006339254394546941,0.028645306300415584,0.3319644714607767,0.0005118209736748152,246.0833333333358,0.0012187990060545933,75.6,8,0.0008599630635700986
I25118,0.0014326647564469914,0.0014326647564469914,0.0,0.005925905904290048,0.27545988057383597,0.0,200.80000000000047,0.00033240950403772766,52.0,3,0.0001169677011372708
T83511A,0.007163323782234957,0.0014326647564469914,0.0,0.018208175494722836,0.3219707766393135,0.0,238.41666666666939,0.0008339586732176665,111.0,4,0.00023880532203460268
J9601,0.0028653295128939827,0.004297994269340974,0.0,0.011367529224067559,0.3135572636742327,0.0,231.5333333333358,0.0006328951276386934,100.0,4,0.0012371209072199647
T827XXA,0.0014326647564469914,0.0014326647564469914,0.0,0.007580721714233446,0.31196661173422385,0.0,229.86666666666903,0.0005523290075683065,229.0,2,0.001796471222143898
I480,0.05300859598853868,0.05300859598853868,0.0030032463100115687,0.13496491073989927,0.35572765488421626,0.003008462621426742,272.1666666666677,0.006292388746358186,44.810810810810814,19,0.00784204020342577
C7931,0.012893982808022923,0.014326647564469913,4.207061088168411e-05,0.010327056282494983,0.2935389896807106,4.2035130865915096e-05,220.45000000000138,0.0027189174366428746,33.3,8,0.004468695225547148
C569,0.011461318051575931,0.012893982808022923,0.002523113695561731,0.006649071248511582,0.28339363289451097,0.0024578828858501183,212.95000000000073,0.0023786543618231916,31.555555555555557,4,0.003425456133781917
R569,0.0028653295128939827,0.0028653295128939827,0.0,0.007934055520335867,0.3123627598126165,0.0,230.53333333333572,0.0009072478646883848,116.5,3,0.0010597694338408104
I2510,0.12320916905444125,0.11891117478510028,0.02740908952319786,0.2018617806966757,0.4092939656446515,0.028002696005934816,316.99999999999795,0.015534846029098387,29.012048192771083,19,0.01812779476464432
I25119,0.011461318051575931,0.012893982808022923,0.0,0.04273644868626115,0.32819969760164847,0.0,244.00000000000253,0.0011711123152215663,87.55555555555556,11,0.0022574023096536395
I2699,0.010028653295128939,0.015759312320916905,0.0002435843614901703,0.029434373348012053,0.3349022101462703,0.00018866011829872599,248.0000000000024,0.000857859415353233,48.63636363636363,9,0.0012105990112042486
R29898,0.0014326647564469914,0.0014326647564469914,0.0,0.007580721714233451,0.31196661173422385,0.0,229.86666666666903,0.0003336050807727735,229.0,2,0.00037426483794664536
G7000,0.0014326647564469914,0.0028653295128939827,2.5122449100776195e-06,0.0001424558261630331,0.20653708929675527,2.5122449100776195e-06,147.5999999999989,0.0004745249715721401,4.5,2,1.4452076021155438e-05
G6181,0.0014326647564469914,0.0014326647564469914,0.0,0.004766378495596076,0.26636239669998435,0.0,194.58333333333334,0.0005130149787503749,73.0,2,0.00038283062932647805
J189,0.04727793696275071,0.050143266475644696,0.003431983733080484,0.12332171933049821,0.3696253543988513,0.0034102024220492117,278.49999999999994,0.004753335856536466,48.68571428571428,19,0.006761902248186126
K5732,0.0028653295128939827,0.004297994269340974,0.002384348805564577,0.004852656657789247,0.2740787446823794,0.002384348805564577,198.9166666666672,0.000806696545101851,47.0,4,0.00019354792972154592
Z7901,0.008595988538681949,0.014326647564469913,0.004793546732011204,0.021737293706407763,0.3215498998071053,0.004792746733894735,238.50000000000273,0.0012701981990149785,66.9,8,0.0012549008638592198
I4892,0.0057306590257879654,0.004297994269340974,0.0,0.016422181167796854,0.27061130181786086,0.0,199.65000000000015,0.0005849097865417382,62.0,6,0.00036911927711635856
E11649,0.0028653295128939827,0.0057306590257879654,0.0,0.012621089378878873,0.3151642195418777,0.0,232.41666666666922,0.000635783484456775,109.5,5,0.001965855730684843
A4151,0.0028653295128939827,0.0057306590257879654,3.391530628604786e-05,0.010263437478122663,0.28753439316474055,9.55007508883514e-06,209.23333333333434,0.00044120965894950816,57.5,5,0.00039428011997602136
I10,0.16475644699140402,0.16905444126074498,0.04908413736031078,0.2189072484428467,0.39707130484654646,0.04876454828804771,321.24999999999704,0.022454950345748164,22.04237288135593,19,0.01798887734239333
S065X0A,0.0,0.0014326647564469914,0.0,7.74802217847069e-19,0.0,0.0,0.0,0.00025548939263151077,0.0,2,-0.0
I130,0.07736389684813753,0.07306590257879655,0.0047831548625608,0.1555616383106474,0.36496390705109133,0.004792330562299163,283.1666666666666,0.008235750945933788,37.588235294117645,19,0.00912746781990492
K5900,0.012893982808022923,0.014326647564469913,0.0007410744906671597,0.04348035148036317,0.3630784846530414,0.0007406346925338473,266.3333333333343,0.001246799457347155,80.9,10,0.0018677389994286467
N401,0.0057306590257879654,0.0057306590257879654,6.203695166421217e-05,0.01700987830746453,0.291971125640873,2.416639660152729e-05,215.20000000000118,0.0006032707855029946,73.0,6,0.000488835584540154
N390,0.13896848137535817,0.15902578796561603,0.0650603445917385,0.19951475562500756,0.4244791602285341,0.0653272053365855,327.66666666666515,0.02072088757057292,21.756756756756758,19,0.012877335950703611
J441,0.05730659025787965,0.05300859598853868,0.007843100773028076,0.128994911400342,0.3715795669976367,0.0077867752698909205,281.833333333333,0.006078514436082088,47.270270270270274,19,0.005911469058929491
I471,0.0014326647564469914,0.0,0.0,0.003962064332660063,0.25058470175846875,0.0,182.63333333333233,0.00031545049615622564,0.0,2,-0.0
E871,0.011461318051575931,0.010028653295128939,0.0011981003612577573,0.03236433504312784,0.3042494413759252,0.0011951363911799197,226.0833333333353,0.0011268865903177679,58.0,10,0.0008359088211683949
I69351,0.007163323782234957,0.008595988538681949,0.002166766889394925,0.01973584921271399,0.3240917962482681,0.002002441923111324,240.00000000000264,0.0008333095080424647,72.16666666666667,6,0.0009327998205901835
R001,0.007163323782234957,0.0057306590257879654,0.0,0.0230231065461511,0.29477012984114503,0.0,217.56666666666803,0.0006512377384274022,73.25,6,0.0006151804087577266
E039,0.05157593123209169,0.05873925501432665,0.004633173699716204,0.12743405773153033,0.38196533129260174,0.004674181264989435,286.3333333333322,0.004952515703501645,47.24390243902439,19,0.006869261795189394
K7290,0.0014326647564469914,0.0028653295128939827,0.0,1.1291888399363637e-05,0.18067254744945688,0.0,129.11666666666764,0.0006589125980612954,3.0,3,1.5104904608373621e-05
D5700,0.0057306590257879654,0.007163323782234957,0.005964901598670553,0.007912947885430267,0.3129588719496635,0.00596552039827999,231.70000000000243,0.0021371930040737807,53.8,4,0.0007036873504312125
E11622,0.008595988538681949,0.011461318051575931,0.0008263719965604092,0.019873321078803078,0.32451935798474346,0.0006121119294443895,240.83333333333593,0.0011517261215912306,52.375,5,0.0015778884524079483
I481,0.004297994269340974,0.007163323782234957,0.0,0.011806370726818286,0.2660742816143164,0.0,194.93333333333337,0.0006691984925227157,72.2,7,0.000984391588075109
J849,0.0,0.0014326647564469914,0.0,-1.139291574100924e-18,0.0,0.0,0.0,0.00025548939263151077,229.0,2,0.0004491178055359745
A0472,0.0,0.0028653295128939827,0.0,2.468409518254192e-18,0.0,0.0,0.0,0.00025548939263151077,21.0,2,8.82495294130643e-05
R197,0.011461318051575931,0.014326647564469913,4.377439710235734e-05,0.036930935846105815,0.3312938361648963,4.633034439341162e-05,246.25000000000242,0.0011210777765805736,68.2,9,0.0015476788452379131
C50919,0.010028653295128939,0.011461318051575931,8.886091104206834e-05,0.008865012922352455,0.29145221961189044,6.472043681228193e-05,217.58333333333454,0.0014963060896849632,40.125,6,0.0016323088643681
J40,0.0014326647564469914,0.0014326647564469914,0.0,0.003617462695167361,0.256235076408787,0.0,186.3999999999994,0.0003303566175993822,19.0,3,3.335267784617514e-05
K922,0.007163323782234957,0.010028653295128939,3.4673719400659473e-06,0.024479415021103013,0.3221816284904198,2.614637166409455e-06,238.16666666666947,0.0007817459119241407,75.85714285714286,8,0.0020228089571594295
R040,0.0014326647564469914,0.0014326647564469914,0.0,0.00758072171423345,0.31196661173422385,0.0,229.86666666666903,0.0003648513560292785,229.0,2,0.0004491178055359745
K219,0.0028653295128939827,0.007163323782234957,1.0974980656752311e-05,0.0077065342883004965,0.2589322877394058,9.876447436750406e-06,191.2833333333328,0.0003841887242330989,99.0,6,0.0007183532168073739
K7460,0.007163323782234957,0.0057306590257879654,0.005247896908431413,0.013091543196500813,0.3165838781884627,0.005207356959152753,234.583333333336,0.0013217273264163922,60.25,3,0.0006154606057598548
E222,0.0,0.0014326647564469914,0.0,-1.5219236636756635e-18,0.0,0.0,0.0,0.00025548939263151077,7.0,2,1.5533666544935618e-05
I132,0.008595988538681949,0.011461318051575931,4.29197780899888e-05,0.023979999572675794,0.3176057757939774,2.944455457205053e-05,235.66666666666939,0.004826233733958951,62.875,6,0.020905833936460932
I951,0.008595988538681949,0.010028653295128939,8.162216783264221e-06,0.026849372318930247,0.3025654038775345,7.576368357181086e-06,223.8666666666685,0.0007295105059765188,59.0,8,0.0007810309986550534
G20,0.034383954154727794,0.03151862464183381,0.002778928929100411,0.0657891842501293,0.3228158442945348,0.0027239201308204017,245.50000000000284,0.003294846360994295,46.63636363636363,13,0.002694003266594932
R109,0.0329512893982808,0.03151862464183381,0.005262579040503103,0.06832639696647078,0.35266763204650253,0.005061407813933865,265.1666666666683,0.003967705090206612,46.72727272727273,12,0.004751091042564518
I82403,0.0014326647564469914,0.0,0.0,0.007580721714233451,0.31263575836870383,0.0,230.36666666666903,0.00034922821840102604,0.0,2,-0.0
M47812,0.0,0.0014326647564469914,0.0,1.5332042875805671e-18,0.0,0.0,0.0,0.00025548939263151077,11.0,2,1.9167569118557864e-05
L0390,0.0028653295128939827,0.0014326647564469914,6.167617152887632e-06,0.0030701401534656858,0.2497316480735386,6.025521690565762e-06,181.91666666666572,0.000556716645989461,29.0,2,7.829047301442361e-05
G40909,0.0057306590257879654,0.0057306590257879654,0.002395653907659926,0.012036065444193377,0.3145596845939073,0.0023893253343455394,232.8666666666692,0.001119533879270441,60.75,4,0.0011001084465740948
K31811,0.0,0.0014326647564469914,0.0,-8.020836684248335e-19,0.0,0.0,0.0,0.00025548939263151077,229.0,2,0.0004491178055359745
E860,0.007163323782234957,0.0057306590257879654,0.00017163065765321147,0.025396663211907904,0.35115727816193504,0.00017099444005821182,257.6666666666686,0.0007728976602096637,135.25,6,0.0014573320498894194
I639,0.020057306590257878,0.015759312320916905,0.0012627658160901272,0.04946557964244195,0.33673603470559277,0.0012707008411705877,251.916666666669,0.0015145166732549204,71.45454545454545,11,0.002049181426108407
J690,0.0014326647564469914,0.004297994269340974,0.0,0.007580721714233446,0.31196661173422385,0.0,229.86666666666903,0.0004273439065422878,118.66666666666667,4,0.0007952934140354246
G459,0.004297994269340974,0.004297994269340974,0.0,0.016298767537719774,0.29231809073373205,0.0,214.9833333333345,0.0004797331522655268,89.0,5,0.0005023580135030475
J45901,0.0014326647564469914,0.004297994269340974,0.0012045072414317603,0.004212057015797405,0.25190545146178756,0.0012045072414317603,184.21666666666576,0.0003339130796529714,28.666666666666668,3,0.00018095317159123913
R079,0.0673352435530086,0.07020057306590258,0.008937843325294579,0.14348073414214213,0.3596281774158414,0.008884132675035274,278.00000000000045,0.007947812314947886,38.10204081632653,19,0.012408050034886825
G309,0.025787965616045846,0.025787965616045846,0.002952930044285965,0.04630741558254392,0.3135572636742327,0.002856966885237087,236.9500000000026,0.0031633719989520273,37.388888888888886,10,0.001606133034080536
E8770,0.0014326647564469914,0.0014326647564469914,0.0,0.007580721714233446,0.31196661173422385,0.0,229.86666666666903,0.0009272843106463658,229.0,2,0.003742648379466447
S0990XA,0.010028653295128939,0.008595988538681949,4.847475523142514e-05,0.035903263421782156,0.3290778238828569,4.7535891365068255e-05,244.33333333333582,0.0009727877721266752,96.0,8,0.0013152546171327816
E8352,0.0014326647564469914,0.0,0.0,1.7853833254120055e-18,0.0014326647564469914,0.0,1.0,0.00047265537636829633,0.0,2,-0.0
E1165,0.04727793696275071,0.03581661891117478,0.0034475843469452616,0.11594366046765285,0.35015754213869826,0.003430394886306922,267.33333333333496,0.0042123753106860975,52.84,17,0.005321594153508675
R42,0.027220630372492834,0.024355300859598854,0.0024726492272989045,0.07930897464637524,0.33742890720498697,0.0024743194737531027,254.41666666666893,0.002452207586341377,57.35294117647059,16,0.0028858818046922233
R1032,0.0028653295128939827,0.0028653295128939827,0.0,0.009586528845256848,0.3131580819254431,0.0,231.1166666666691,0.0004425598658605141,170.0,4,0.0004828127115987374
D62,0.0014326647564469914,0.0028653295128939827,0.0,0.00758072171423345,0.31196661173422385,0.0,229.86666666666903,0.0005210827323118021,146.5,3,0.0014455012276544143
J101,0.0014326647564469914,0.0014326647564469914,0.0,0.0059539058370361355,0.27120801913168197,0.0,199.30000000000013,0.0003228812304534151,118.0,3,0.0001450198552962479
R112,0.011461318051575931,0.008595988538681949,0.0002487142922780057,0.032151677514944965,0.35216273923040164,0.00019251026751546633,259.3333333333353,0.0011271233800701776,91.83333333333333,7,0.0015332709410669123
I9589,0.0014326647564469914,0.0014326647564469914,0.0,0.007580721714233451,0.31196661173422385,0.0,229.86666666666903,0.0003336050807727735,229.0,2,0.0004491178055359745
G893,0.0014326647564469914,0.004297994269340974,0.0,0.0025061406630623026,0.2718073738700945,0.0,201.71666666666664,0.00042328865089022476,84.66666666666667,4,0.0008246211345150297
C3412,0.012893982808022923,0.010028653295128939,0.00022926427573020824,0.0198701530268241,0.3135572636742327,0.0002038549646882668,234.23333333333588,0.00220633174873616,48.714285714285715,6,0.00395802125725671
I959,0.007163323782234957,0.007163323782234957,3.525819387141903e-06,0.0256069388867146,0.3230278047963697,3.857964351636471e-06,239.25000000000267,0.0007343472197493592,113.6,8,0.0017320933088175988
J181,0.0028653295128939827,0.0,0.0,0.0100465608385498,0.2765556652460411,0.0,204.93333333333354,0.0004061213973572135,0.0,3,-0.0
J9621,0.004297994269340974,0.004297994269340974,2.418203656759206e-07,0.012163658066042712,0.2667957411631622,2.4182036567592057e-07,196.21666666666664,0.0005491322666884397,35.333333333333336,5,0.00023572971703676623
D500,0.0057306590257879654,0.0057306590257879654,0.002384348805564577,0.014994620144131367,0.31946191344472147,0.002384348805564577,236.08333333333613,0.0012290737895551413,80.75,4,0.0006527541414616611
C9200,0.0057306590257879654,0.004297994269340974,0.0011839525103493071,0.008163892104881507,0.2997997237689647,0.0011839525103493071,221.15000000000165,0.0013095034603651053,65.0,4,0.0017339147541371286
D709,0.0014326647564469914,0.0014326647564469914,0.0,0.0025061406630623056,0.2718073738700945,0.0,201.71666666666664,0.0004904083541937109,118.0,2,0.0005923133343031555
K222,0.0028653295128939827,0.0014326647564469914,1.5073469460465707e-05,0.0010421345495908604,0.24872161107425228,4.405652393151649e-06,179.71666666666584,0.0005011493037558964,4.0,2,1.4329060667813171e-05
N132,0.0014326647564469914,0.0028653295128939827,0.0,8.089223563080333e-05,0.1998258922440581,0.0,142.61666666666605,0.0005738054147449448,4.0,3,1.7657617599334125e-05
A084,0.0014326647564469914,0.0,0.0,0.007580721714233446,0.31263575836870383,0.0,230.36666666666903,0.0003336050807727735,0.0,2,-0.0
G9340,0.0057306590257879654,0.0057306590257879654,1.9824115801349377e-05,0.012761929725820308,0.2900774449910796,1.574438912804997e-05,213.40000000000103,0.0008916134613718183,82.25,4,0.0008644428825041098
Z483,0.011461318051575931,0.0057306590257879654,0.0011997474345574884,0.012955026006748752,0.2997997237689647,0.0011981498613102587,222.93333333333504,0.001204177794528632,51.5,5,0.0006475346772842044
T8571XA,0.0014326647564469914,0.0014326647564469914,0.0,0.007580721714233457,0.31196661173422385,0.0,229.86666666666903,0.0003648513560292785,229.0,2,0.000673676708303961
K625,0.0028653295128939827,0.0,0.0,0.01099300412057642,0.2724348026844279,0.0,203.18333333333325,0.00038734660099028055,0.0,3,-0.0
K56609,0.0014326647564469914,0.0,0.0,2.823883769053955e-18,0.0014326647564469914,0.0,1.0,0.00047265537636829617,0.0,2,-0.0
K5792,0.0014326647564469914,0.0014326647564469914,0.0,0.00014245582616303365,0.20671064987599624,0.0,147.7333333333322,0.0005297662179661401,3.0,2,1.6775225978328582e-06
J90,0.010028653295128939,0.008595988538681949,0.00017551746506646305,0.024900057090729382,0.346214881565708,0.00019197385655271947,255.08333333333547,0.0010392021998968455,102.5,6,0.0021074463740153363
A4101,0.0,0.0014326647564469914,0.0,-6.216156837807904e-19,0.0,0.0,0.0,0.00025548939263151077,229.0,2,0.0005239707731253033
A0471,0.0014326647564469914,0.0,0.0,4.456203939557924e-19,0.0014326647564469914,0.0,1.0,0.00036407238449990414,0.0,2,-0.0
E1143,0.0014326647564469914,0.0014326647564469914,0.0,0.007580721714233451,0.31196661173422385,0.0,229.86666666666903,0.00038047449365753103,229.0,2,0.0008233826434826199
S065X0D,0.0014326647564469914,0.0,0.0,1.1040011540372678e-18,0.0014326647564469914,0.0,1.0,0.00047265537636829655,0.0,2,-0.0
Z5189,0.008595988538681949,0.012893982808022923,2.0411951164561195e-05,0.034853449510458316,0.3284187895226109,1.9547018063381456e-05,243.5000000000025,0.0008765039540439298,80.44444444444444,10,0.0018849350573362977
I5033,0.010028653295128939,0.007163323782234957,9.927471726045717e-06,0.03498724315041174,0.3228158442945348,1.0200339432903963e-05,239.83333333333601,0.0007808392601884518,79.4,7,0.0009126614272384882
I469,0.0028653295128939827,0.0,0.0,0.010607219509344576,0.3138282660293601,0.0,231.41666666666913,0.00044383688155461313,0.0,3,-0.0
G92,0.0,0.0014326647564469914,0.0,-2.1029088044545203e-18,0.0,0.0,0.0,0.00025548939263151077,229.0,2,0.0004491178055359745
C229,0.0014326647564469914,0.0014326647564469914,0.0,8.65938970871163e-05,0.20405281903976402,0.0,146.68333333333237,0.0004913321658688962,3.0,2,2.363645260035921e-06
C221,0.0028653295128939827,0.0028653295128939827,0.0,0.004383673379907682,0.28128721938528933,0.0,208.90000000000052,0.0009592691841609915,93.0,3,0.002540230085804856
N136,0.0014326647564469914,0.0028653295128939827,0.0,0.005857006037848185,0.2820936621014169,0.0,205.06666666666743,0.00032761369416708534,58.5,3,0.00013491887629245715
R0602,0.044412607449856735,0.050143266475644696,0.0027360820703065426,0.12103708775966843,0.3799006538261553,0.002930213146806537,283.49999999999915,0.004207783044208254,52.94285714285714,19,0.007082314402433019
J209,0.0057306590257879654,0.011461318051575931,2.4300357252314673e-05,0.020451396855549298,0.31946191344472147,2.4140702179929703e-05,236.7000000000027,0.0005877920699045994,75.25,9,0.0012846100249998252
D693,0.0014326647564469914,0.0014326647564469914,0.0,5.862725309530841e-19,0.0014326647564469914,0.0,1.0,0.0017032626175433705,1.0,2,-0.0
G4733,0.0014326647564469914,0.0014326647564469914,0.0,0.007580721714233444,0.3121645600919232,0.0,230.0333333333357,0.00034922821840102604,34.0,3,4.6246707913374544e-05
Z5111,0.16905444126074498,0.16905444126074498,0.14041491160348332,0.0853699037907206,0.40160926261622126,0.14165474740966866,324.66666666666396,0.04633233636861183,12.822033898305085,11,0.033141894539484025
C251,0.0014326647564469914,0.0014326647564469914,0.0,0.002506140663062303,0.2718073738700945,0.0,201.71666666666664,0.0003729488734126102,118.0,2,0.0003230800005289939
C252,0.004297994269340974,0.0028653295128939827,5.138682770613312e-07,0.0029213029577416067,0.27210804574384456,5.138682770613312e-07,202.71666666666664,0.0009837766102936824,62.0,3,0.0017646665217938176
K2970,0.0014326647564469914,0.0,0.0,0.007580721714233455,0.31263575836870383,0.0,230.36666666666903,0.00038047449365753103,0.0,2,-0.0
C3491,0.017191977077363897,0.014326647564469913,0.0013836442230286126,0.015583744489734328,0.3018229120888779,0.0013613524513086204,226.4333333333352,0.004283824331576115,34.5,8,0.005933653865032766
