hcc,weight,cat
1,0.49200000000000005,CAT-1
2,0.52,CAT-2
6,0.557,CAT-3
8,2.425,CAT-4
9,1.006,CAT-4
10,0.695,CAT-4
11,0.33,CAT-4
12,0.18,CAT-4
17,0.344,CAT-5
18,0.344,CAT-5
19,0.124,CAT-5
21,0.653,CAT-6
22,0.342,CAT-6
23,0.24,CAT-6
27,1.003,CAT-7
28,0.425,CAT-7
29,0.313,CAT-7
33,0.337,CAT-8
34,0.257,CAT-8
35,0.27899999999999997,CAT-9
39,0.423,CAT-10
40,0.376,CAT-10
46,1.078,CAT-11
47,0.306,CAT-11
48,0.258,CAT-11
51,0.616,CAT-12
52,0.34299999999999997,CAT-12
54,0.358,CAT-13
55,0.358,CAT-13
57,0.47100000000000003,CAT-14
58,0.318,CAT-14
70,1.075,CAT-15
71,0.868,CAT-15
72,0.441,CAT-15
73,1.016,CAT-16
74,0.036000000000000004,CAT-16
75,0.281,CAT-17
76,0.46,CAT-18
77,0.48200000000000004,CAT-19
78,0.555,CAT-20
79,0.252,CAT-20
80,0.5329999999999999,CAT-21
82,1.732,CAT-22
83,0.769,CAT-22
84,0.326,CAT-22
85,0.361,CAT-23
86,0.28300000000000003,CAT-23
87,0.28300000000000003,CAT-23
88,0.21,CAT-23
96,0.276,CAT-24
99,0.371,CAT-25
100,0.33299999999999996,CAT-25
103,0.48100000000000004,CAT-26
104,0.212,CAT-26
106,1.3130000000000002,CAT-27
107,0.41700000000000004,CAT-27
108,0.28800000000000003,CAT-27
110,0.38799999999999996,CAT-28
111,0.38799999999999996,CAT-28
112,0.294,CAT-28
114,0.691,CAT-29
115,0.212,CAT-29
122,0.223,CAT-30
124,0.248,CAT-31
134,0.617,CAT-32
135,0.617,CAT-32
136,0.22699999999999998,CAT-32
137,0.22699999999999998,CAT-32
138,0.22699999999999998,CAT-32
139,0.22699999999999998,CAT-32
140,0.22699999999999998,CAT-32
141,0.075,CAT-32
157,1.071,CAT-33
158,1.071,CAT-33
160,1.071,CAT-33
161,0.473,CAT-33
162,0.45799999999999996,CAT-33
166,0.5329999999999999,CAT-34
167,0.141,CAT-34
169,0.441,CAT-35
170,0.363,CAT-35
173,0.379,CAT-36
176,0.555,CAT-37
186,1.032,CAT-38
188,0.609,CAT-38
189,0.804,CAT-39
159,1.071,CAT-40
